City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
559,darwin,-12.4611,130.8418,26.99,90,100,2.57,AU,1712079424
560,toliara,-23.35,43.6667,27.92,65,51,4.53,MG,1712079610
561,pisco,-13.7,-76.2167,25.03,73,0,5.14,PE,1712079611
562,torrington,41.8007,-73.1212,10.66,72,100,2.24,US,1712079612
563,mwene-ditu,-7.0,23.45,19.89,94,60,1.26,CD,1712079613
564,mabaruma,8.2,-59.7833,28.68,81,96,2.2,GY,1712079614
565,road town,18.4167,-64.6167,27.02,74,40,6.17,VG,1712079320
566,kondrovo,54.8064,35.9278,18.39,69,97,5.05,RU,1712079615
567,alta,69.9689,23.2717,-5.41,63,40,2.57,NO,1712079616
568,vanino,49.0869,140.2543,-2.26,87,41,1.92,RU,1712079617
569,barra de santo antonio,-9.4047,-35.5072,31.6,67,90,4.02,BR,1712079618
570,monterey,36.2505,-121.2516,21.09,52,0,1.82,US,1712079619
571,rumuruti,0.267,36.5389,18.03,80,90,2.4,KE,1712079620
572,zabol,32.25,67.25,10.76,41,68,4.55,AF,1712079621
573,pandan,14.0453,124.1694,26.08,78,42,4.1,PH,1712079622
574,porto novo,6.4965,2.6036,31.9,78,79,5.2,BJ,1712079368
575,filipstad,59.7124,14.1683,-2.06,74,100,6.1,SE,1712079623
576,salekhard,66.53,66.6019,-2.11,97,100,3.92,RU,1712079624
577,talavera,15.6167,120.9333,22.61,87,9,1.66,PH,1712079625
578,coronel dorrego,-38.7187,-61.2873,22.1,30,99,10.25,AR,1712079626
579,eydhafushi,5.1033,73.0708,29.01,69,76,2.4,MV,1712079627
580,khuzdar,27.7384,66.6434,21.78,18,84,2.94,PK,1712079628
581,malkara,40.89,26.9011,14.41,74,96,3.13,TR,1712079629
582,zyryanskoye,56.8306,86.6258,0.5,99,100,3.14,RU,1712079630
583,fort mcmurray,56.7268,-111.381,10.77,31,100,3.09,CA,1712079631
584,itaituba,-4.2761,-55.9836,29.09,84,75,2.57,BR,1712079632
585,kudahuvadhoo,2.6708,72.8944,29.11,69,68,2.3,MV,1712079633
586,ginir,7.1333,40.7,17.43,82,77,0.64,ET,1712079633
587,fort wellington,6.4,-57.6,30.74,62,98,4.84,GY,1712079634
588,saryaghash,41.45,69.1667,13.96,57,96,2.12,KZ,1712079635
